parameter,independent_variables,3
elevator[deg],alpha[deg],beta[deg],Cx,Cy,Cz,Cl,Cm,Cn
-10,-10,8,-0.037,-0.1513,0.813,-0.0038,0.018,0.03106
-10,-10,10,-0.0364,-0.1949,0.799,-0.00484,0.0211,0.03942
-10,-10,15,-0.0388,-0.2978,0.78,-0.0041,0.0422,0.05716
-10,-10,20,-0.0415,-0.3758,0.771,-0.00114,0.062,0.0653
-10,-10,25,-0.0453,-0.4528,0.775,0.00418,0.0539,0.0723
-10,-10,30,-0.045,-0.5078,0.756,0.00774,0.0649,0.0826
-10,-5,-30,-0.0257,0.5683,0.277,0.01904,0.0804,-0.08602
-10,-5,-25,-0.0262,0.4913,0.271,0.01388,0.0667,-0.08306
-10,-5,-20,-0.0272,0.3913,0.288,0.01228,0.0596,-0.0743
-10,-5,-15,-0.0259,0.2943,0.284,0.01098,0.0549,-0.0538
-10,-5,-10,-0.0276,0.1926,0.302,0.0091,0.0542,-0.03972
-10,-5,-8,-0.0282,0.149,0.303,0.00682,0.0544,-0.03024
-10,-5,-6,-0.0294,0.1125,0.308,0.00472,0.0537,-0.025
-10,-5,-4,-0.0298,0.0723,0.31,0.00236,0.0496,-0.01398
-10,-5,-2,-0.0302,0.0369,0.321,0.00068,0.0486,-0.0067
-10,-5,0,-0.0305,0,0.317,0,0.0433,0
-10,-5,2,-0.0301,-0.0363,0.314,-0.00104,0.0455,0.00634
-10,-5,4,-0.0294,-0.0765,0.306,-0.00246,0.0475,0.0138
-10,-5,6,-0.0288,-0.1169,0.302,-0.00428,0.0496,0.0224
-10,-5,8,-0.0287,-0.1644,0.301,-0.00614,0.05,0.03252
-10,-5,10,-0.0271,-0.2132,0.297,-0.00878,0.0504,0.04276
-10,-5,15,-0.0264,-0.3148,0.282,-0.01088,0.0521,0.05712
-10,-5,20,-0.0277,-0.4118,0.278,-0.01238,0.0556,0.07798
-10,-5,25,-0.0267,-0.513,0.266,-0.01404,0.0638,0.08548
-10,-5,30,-0.0262,-0.5889,0.27,-0.01516,0.0774,0.08942
-10,0,-30,-0.0264,0.6293,0.026,0.02856,0.0797,-0.10348
-10,0,-25,-0.0277,0.5313,0.007,0.027,0.0754,-0.09102
-10,0,-20,-0.0271,0.4173,0.001,0.02492,0.079,-0.07724
-10,0,-15,-0.0264,0.3053,-0.016,0.02112,0.0799,-0.0573
-10,0,-10,-0.0296,0.2024,-0.016,0.01696,0.0821,-0.04048
-10,0,-8,-0.0306,0.1582,-0.008,0.01332,0.0815,-0.03042
-10,0,-6,-0.031,0.1116,-0.017,0.00988,0.0773,-0.02088
-10,0,-4,-0.0316,0.0729,-0.01,0.00616,0.0774,-0.0127
-10,0,-2,-0.0325,0.0374,-0.011,0.00298,0.0764,-0.00568
-10,0,0,-0.033,0,-0.011,0,0.0761,0
